parameter,mean_estimate,mean_true,bias,rmse,coverage_94_hdi,mean_prob_positive
beta_train,12.447135010459865,12.0,0.4471350104598631,6.273312707788191,0.9666666666666667,0.8831979166666667
delta,33.886648822191,35.0,-1.1133511778089973,8.012996808436993,0.9333333333333333,
kappa,0.13731774519232806,0.08000000000000002,0.05731774519232805,0.07832319034681703,0.9666666666666667,
end_te,51.58194472571741,51.61987561391157,-0.03793088819416302,8.090202042658847,1.0,0.9991041666666667
avg_post_te,39.69200083435789,40.102476202933445,-0.4104753685755559,5.802282681441126,0.9666666666666667,0.9995833333333335
