,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_pop,1745.2367,5.9174,1735.1033,1756.2669,2.2477,0.6588,7.1316,32.8567,1.532
sigma_alpha,23.4903,32.5351,0.1081,81.1834,16.1242,8.6908,4.9336,23.1578,2.373
beta_pop,-4.9332,7.0644,-15.6312,6.3813,2.9108,0.8885,6.7483,27.2083,1.6102
sigma_beta,18.64,14.6086,0.1983,40.3113,6.9357,2.2267,4.8338,16.9452,2.5359
kappa,0.0703,0.0893,0.014,0.2375,0.0442,0.0258,6.5721,39.0859,1.6285
sigma_state,15.0881,1.4801,13.4043,17.9608,0.7007,0.3799,7.1572,37.3625,1.5766
sigma_obs,151.8326,9.6792,132.6374,162.9841,4.5642,2.4815,7.0778,42.901,1.5642
gamma,0.667,0.0125,0.6417,0.6871,0.0049,0.0022,7.4636,30.8695,1.5033
